gene,stability_freq,perm_importance_mean
Trat1,3,0.0016358194513549028
Cdkn2b,4,0.0016240103015337736
Ubash3a,3,0.0016040775487240256
Cmah,2,0.0015923716782595297
Cysltr2,4,0.0015905648988049138
Cds1,3,0.0015642169894699355
Postn,3,0.001543136554096758
Slc43a1,3,0.001536785024999243
Maneal,3,0.0015180094827600965
Pdcd1,3,0.0015131938944808797
Pcdhb5,3,0.0015110670700158259
Gm49492,4,0.0014909557083778724
Pcdhb6,4,0.0014714214170645002
Pdgfrl,4,0.0014655667655329883
Pls1,3,0.0014531826276714677
Gm15987,3,0.0014479017984734832
Oasl1,3,0.00144446454922309
Kdm5d,4,0.0014441730118171182
Cfh,3,0.0014423846546625207
H2-M2,3,0.0014113201732092518
Gldn,2,0.0013963799793976996
Serpine1,2,0.001380706955551525
Igfbp4,2,0.0013781344861744428
Gm30648,3,0.001350696753732783
Nap1l5,3,0.0013443572057512787
mt-Rnr1,3,0.001341155605783717
Ccdc3,3,0.001321928900829483
Ighv1-22,3,0.0013180517824950887
Slc6a19,2,0.0013132011529387146
BC064078,3,0.0012958303570898555
Lbp,2,0.0012956407973761187
Col5a1,4,0.0012930735903215916
Gnb3,3,0.0012878360205526573
Ifi214,3,0.001285526560822392
Kcnj15,3,0.0012823276706841248
Kcng2,2,0.0012671298102541085
Ighg3,3,0.00126608465996495
Rab6b,3,0.0012443587216667273
Fos,3,0.0012385503138044652
Snhg18,3,0.0012214505696502174
Zim1,4,0.0012198395956802388
Ripk4,4,0.0012190033689255975
Pcdhga2,3,0.0012118131062224258
Phlda3,3,0.0012083790064529865
Jchain,3,0.001203186516220811
Cd209d,3,0.0012021298887849197
Gm40761,3,0.0011995362830692024
Kcnb1,4,0.0011978485606529699
Kif5a,3,0.0011957075963541118
Plscr2,2,0.001192214133170999
Zfyve28,4,0.001186813368060835
Adamtsl2,2,0.001175632355249312
Lhfpl4,3,0.0011733688182115844
Slc1a1,3,0.0011618253084460072
Adra2c,2,0.0011566606553583547
Myom3,3,0.0011505371897916228
Fcna,3,0.0011463596080981688
Unc5b,1,0.0011383313597785993
Il1r2,3,0.0011364286118293542
Il1rl2,4,0.0011358809861867548
